V2,EG4STS,EA1/SG-016,10/09/22,0901,145.500MHz,FM,EA7KNC/P,EA1/AV-013,"s59 r59 S2S EA1/AV-013"
V2,EG4STS,EA1/SG-016,10/09/22,0904,145.500MHz,FM,EA4BVW,EA1/AV-014,"s59 r59 S2S EA1/AV-014"
V2,EG4STS,EA1/SG-016,10/09/22,0907,145.500MHz,FM,EA4HTC,EA1/SG-017,"s59 r59 S2S EA1/SG-017"
V2,EG4STS,EA1/SG-016,10/09/22,0914,145.450MHz,FM,EA4GZU,EA4/MD-045,"s59 r59 S2S EA4/MD-045"
V2,EG4STS,EA1/SG-016,10/09/22,0918,145.450MHz,FM,EA2DCA/P,EA1/PL-034,"s59 r59 S2S EA1/PL-034"
V2,EG4STS,EA1/SG-016,10/09/22,0919,145.450MHz,FM,EA2DNO/P,EA1/PL-034,"s59 r59 S2S EA1/PL-034"
V2,EG4STS,EA1/SG-016,10/09/22,0922,145.450MHz,FM,EA4HNZ,,"IN70xr s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0924,145.450MHz,FM,EA2BO/P,,"IN83fd s53 r55"
V2,EG4STS,EA1/SG-016,10/09/22,0925,145.450MHz,FM,EA4R,,"IM89at s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0925,145.450MHz,FM,EA4FDJ,,"IN70xr s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0925,145.450MHz,FM,EA4DL,,"IN70xg s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0926,145.450MHz,FM,EA4GDK/P,EA4/MD-020,"s59 r59 S2S EA4/MD-020"
V2,EG4STS,EA1/SG-016,10/09/22,0928,145.450MHz,FM,EA1GKP,,"IN71PP s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0929,145.450MHz,FM,EA4HTA,,"IN80bi s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0930,145.450MHz,FM,EA4GWY,,"IN80bg s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0930,145.450MHz,FM,EA4GYG,,"IN80ek s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0931,145.450MHz,FM,EA4HAD,,"IN70wd s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0931,145.450MHz,FM,EA4AON,,"IN80do s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0931,145.450MHz,FM,EA4HLB,,"IN80bl s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0932,145.450MHz,FM,EB4FGE,,"IN80be s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0935,145.450MHz,FM,EA4IS,EA4/MD-063,"s59 r59 S2S EA4/MD-063"
V2,EG4STS,EA1/SG-016,10/09/22,0937,145.450MHz,FM,EA4DON/P,EA1/PL-007,"s59 r59 S2S EA1/PL-007"
V2,EG4STS,EA1/SG-016,10/09/22,0937,145.450MHz,FM,EA4DOS/P,EA1/PL-007,"s59 r59 S2S EA1/PL-007"
V2,EG4STS,EA1/SG-016,10/09/22,0945,145.450MHz,FM,EA4HKO,,"IN70WD s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0945,145.450MHz,FM,EA4FFI,,"IN80ch s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,0952,145.450MHz,FM,EA4HIH,EA4/GU-050,"s59 r59 S2S EA4/GU-050"
V2,EG4STS,EA1/SG-016,10/09/22,0957,145.450MHz,FM,EA4MZ,,"IN80fi s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1004,145.450MHz,FM,EA4RG,EA4/MD-017,"s59 r59 S2S EA4/MD-017"
V2,EG4STS,EA1/SG-016,10/09/22,1009,145.450MHz,FM,EA4GAX,,"IN80br s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1010,145.450MHz,FM,EA4FPF,,"IN80hi s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1011,145.450MHz,FM,EA4HRJ,,"IN80fa s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1012,145.450MHz,FM,EA4DSU/P,,"IN80bj s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1022,145.450MHz,FM,EA1LZ,,"IN81dq s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1024,145.450MHz,FM,EA4HLP,,"IN80ap s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1029,145.450MHz,FM,EA4GYM,,"IN80an s59 r59"
V2,EG4STS,EA1/SG-016,10/09/22,1125,145.450MHz,FM,EA4NI,,"IN80cj s59 r59"
